GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.webserver,WebWorker,314,0,26,0,86,0,19,0,6,0
JaCoCo Ant Example,edu.nmsu.cs.webserver,WebServer,88,0,6,0,31,0,7,0,4,0
